From,To,Start,Stop,Status,Duration,Filesize
BILS,FUNET,1456936720.23446,1456936725.05604,0,4.821,104857600
BILS,FUNET,1456937047.59889,1456937296.18132,0,248.582,10485760000
BILS,FUNET,1456937625.93213,1456937748.20098,0,122.268,10485760000
BILS,FUNET,1456938075.18022,1456938224.33578,0,149.155,10485760000
BILS,FUNET,1456938552.10109,1456938664.11997,0,112.018,10485760000
BILS,FUNET,1456939005.9578,1456939109.69545,0,103.737,10485760000
BILS,FUNET,1456939430.56776,1456939608.66295,0,178.095,10485760000
BILS,FUNET,1456939925.80299,1456940026.56153,0,100.758,10485760000
BILS,FUNET,1456940343.07471,1456940495.98196,0,152.907,10485760000
BILS,FUNET,1456940831.12443,1456940935.21363,0,104.089,10485760000
BILS,FUNET,1456941254.34658,1456941384.71259,0,130.366,10485760000
BILS,FUNET,1456941710.8458,1456941827.04763,0,116.201,10485760000
BILS,FUNET,1456942146.57738,1456942292.76877,0,146.191,10485760000
BILS,FUNET,1456942623.32978,1456942766.40144,0,143.071,10485760000
BILS,FUNET,1456943103.92232,1456943219.17841,0,115.256,10485760000
BILS,FUNET,1456943559.35258,1456943702.52638,0,143.173,10485760000
BILS,FUNET,1456944022.75661,1456944138.76486,0,116.008,10485760000
BILS,FUNET,1456944480.07525,1456944626.047,0,145.971,10485760000
BILS,FUNET,1456944954.51983,1456945088.41004,0,133.89,10485760000
BILS,FUNET,1456945417.90096,1456945543.40867,0,125.507,10485760000
BILS,FUNET,1456945876.97008,1456945988.62717,0,111.657,10485760000
BILS,FUNET,1456946329.42595,1456946450.5874,0,121.161,10485760000
BILS,FUNET,1456946793.66117,1456946900.29036,0,106.629,10485760000
BILS,FUNET,1456947220.65363,1456947342.45028,0,121.796,10485760000
BILS,FUNET,1456947678.73642,1456947789.55808,0,110.821,10485760000
BILS,FUNET,1456948120.47814,1456948249.8674,0,129.389,10485760000
BILS,FUNET,1456948571.32178,1456948706.54453,0,135.222,10485760000
BILS,FUNET,1456949045.67126,1456949180.3881,0,134.716,10485760000
BILS,FUNET,1456949508.51359,1456949641.38214,0,132.868,10485760000
BILS,FUNET,1456949974.35053,1456950119.15207,0,144.801,10485760000
BILS,FUNET,1456950439.85934,1456950557.65009,0,117.79,10485760000
BILS,FUNET,1456950892.64022,1456951042.50584,0,149.865,10485760000
BILS,FUNET,1456951386.01084,1456951488.14487,0,102.134,10485760000
BILS,FUNET,1456951823.88637,1456951945.38595,0,121.499,10485760000
BILS,FUNET,1456952266.73424,1456952391.38251,0,124.648,10485760000
BILS,FUNET,1456952718.14113,1456952852.22303,0,134.081,10485760000
BILS,FUNET,1456953172.74197,1456953307.65097,0,134.909,10485760000
BILS,FUNET,1456953625.38999,1456953757.14212,0,131.752,10485760000
BILS,FUNET,1456954075.65272,1456954230.49505,0,154.842,10485760000
BILS,FUNET,1456954547.58056,1456954673.56304,0,125.982,10485760000
BILS,FUNET,1456955004.2643,1456955148.17779,0,143.913,10485760000
BILS,FUNET,1456955473.04209,1456955609.01123,0,135.969,10485760000
BILS,FUNET,1456955951.75116,1456956103.73556,0,151.984,10485760000
BILS,FUNET,1456956437.36721,1456956573.9119,0,136.544,10485760000
BILS,FUNET,1456956893.38069,1456957007.06412,0,113.683,10485760000
BILS,FUNET,1456957333.23684,1456957496.0843,0,162.847,10485760000
BILS,FUNET,1456957818.91277,1456957918.52806,0,99.615,10485760000
BILS,FUNET,1456958257.14499,1456958372.23388,0,115.088,10485760000
BILS,FUNET,1456958701.0729,1456958842.97953,0,141.906,10485760000
BILS,FUNET,1456959169.73545,1456959293.07005,0,123.334,10485760000
BILS,FUNET,1456959626.20183,1456959786.15984,0,159.958,10485760000
BILS,FUNET,1456960104.35376,1456960207.50387,0,103.15,10485760000
BILS,FUNET,1456960550.2451,1456960685.98753,0,135.742,10485760000
BILS,FUNET,1456961015.77024,1456961125.68987,0,109.919,10485760000
BILS,FUNET,1456961471.30525,1456961572.20904,0,100.903,10485760000
BILS,FUNET,1456961912.64069,1456962057.68165,0,145.04,10485760000
BILS,FUNET,1456962392.43619,1456962492.01371,0,99.577,10485760000
BILS,FUNET,1456962807.89437,1456962971.16122,0,163.266,10485760000
BILS,FUNET,1456963286.79333,1456963416.34898,0,129.555,10485760000
BILS,FUNET,1456963736.33704,1456963841.777,0,105.439,10485760000
BILS,FUNET,1456964169.47204,1456964299.80595,0,130.333,10485760000
BILS,FUNET,1456964626.5436,1456964734.19145,0,107.647,10485760000
BILS,FUNET,1456965054.56775,1456965232.31762,0,177.749,10485760000
BILS,FUNET,1456965553.29614,1456965678.97478,0,125.678,10485760000
BILS,FUNET,1456966014.53328,1456966158.88652,0,144.353,10485760000
BILS,FUNET,1456966484.02462,1456966614.65564,0,130.631,10485760000
BILS,FUNET,1456966935.76725,1456967037.52563,0,101.758,10485760000
BILS,FUNET,1456967367.67217,1456967500.14026,0,132.468,10485760000
BILS,FUNET,1456967838.69066,1456967938.57217,0,99.881,10485760000
BILS,FUNET,1456968260.5395,1456968411.41473,0,150.875,10485760000
BILS,FUNET,1456968745.47463,1456968863.42544,0,117.95,10485760000
BILS,FUNET,1456969196.46549,1456969344.04441,0,147.578,10485760000
BILS,FUNET,1456969675.91658,1456969808.26347,0,132.346,10485760000
BILS,FUNET,1456970125.01691,1456970235.33283,0,110.315,10485760000
BILS,FUNET,1456970576.95184,1456970716.43688,0,139.485,10485760000
BILS,FUNET,1456971057.49447,1456971157.36409,0,99.869,10485760000
BILS,FUNET,1456971494.3293,1456971638.72187,0,144.392,10485760000
BILS,FUNET,1456971970.24778,1456972071.92645,0,101.678,10485760000
BILS,FUNET,1456972404.92324,1456972539.99082,0,135.067,10485760000
BILS,FUNET,1456972863.17214,1456972984.94951,0,121.777,10485760000
BILS,FUNET,1456973323.1781,1456973426.87452,0,103.696,10485760000
BILS,FUNET,1456973759.92524,1456973878.32777,0,118.402,10485760000
BILS,FUNET,1456974221.24167,1456974322.46059,0,101.218,10485760000
BILS,FUNET,1456974661.07641,1456974804.19903,0,143.122,10485760000
BILS,FUNET,1456975140.00275,1456975255.91078,0,115.908,10485760000
BILS,FUNET,1456975595.82978,1456975723.65462,0,127.824,10485760000
BILS,FUNET,1456976046.26629,1456976201.72525,0,155.458,10485760000
BILS,FUNET,1456976539.35247,1456976641.34845,0,101.995,10485760000
BILS,FUNET,1456976977.04723,1456977095.32458,0,118.277,10485760000
BILS,FUNET,1456977427.17142,1456977526.44831,0,99.276,10485760000
BILS,FUNET,1456977868.21681,1456977989.63475,0,121.417,10485760000
BILS,FUNET,1456978318.81813,1456978464.50031,0,145.682,10485760000
BILS,FUNET,1456978781.51651,1456978925.29889,0,143.782,10485760000
BILS,FUNET,1456979268.68323,1456979426.39916,0,157.715,10485760000
BILS,FUNET,1456979763.79105,1456979871.41846,0,107.627,10485760000
BILS,FUNET,1456980196.21377,1456980341.47715,0,145.263,10485760000
BILS,FUNET,1457000721.41531,1457000736.58396,0,15.168,1048576000
BILS,FUNET,1457000811.34186,1457000826.97321,0,15.631,1048576000
BILS,FUNET,1457000900.44733,1457000914.29757,0,13.85,1048576000
BILS,FUNET,1457000982.66717,1457000997.56902,0,14.901,1048576000
BILS,FUNET,1457001070.07299,1457001085.0169,0,14.943,1048576000
BILS,FUNET,1457001156.32344,1457001171.03644,0,14.713,1048576000
BILS,FUNET,1457001244.50933,1457001259.30816,0,14.798,1048576000
BILS,FUNET,1457001331.31501,1457001345.39905,0,14.084,1048576000
BILS,FUNET,1457001416.78017,1457001431.65717,0,14.876,1048576000
BILS,FUNET,1457001506.07396,1457001521.52102,0,15.447,1048576000
BILS,FUNET,1457001593.34984,1457001607.93147,0,14.581,1048576000
BILS,FUNET,1457001682.61201,1457001697.48761,0,14.875,1048576000
BILS,FUNET,1457001770.16078,1457001785.14591,0,14.985,1048576000
BILS,FUNET,1457001857.00521,1457001872.11885,0,15.113,1048576000
BILS,FUNET,1457001941.46768,1457001956.24622,0,14.778,1048576000
BILS,FUNET,1457002030.97032,1457002045.9318,0,14.961,1048576000
BILS,FUNET,1457002118.71375,1457002133.24592,0,14.532,1048576000
BILS,FUNET,1457002202.18879,1457002217.5635,0,15.374,1048576000
BILS,FUNET,1457002287.68796,1457002303.49421,0,15.806,1048576000
BILS,FUNET,1457002371.52664,1457002386.54366,0,15.017,1048576000
BILS,FUNET,1457002458.98842,1457002473.67322,0,14.684,1048576000
BILS,FUNET,1457002543.73933,1457002558.68151,0,14.942,1048576000
BILS,FUNET,1457002632.20279,1457002646.87317,0,14.67,1048576000
BILS,FUNET,1457002721.36942,1457002736.40875,0,15.039,1048576000
BILS,FUNET,1457002809.56681,1457002824.72902,0,15.162,1048576000
BILS,FUNET,1457002893.24763,1457002908.67102,0,15.423,1048576000
BILS,FUNET,1457002981.52286,1457002996.81444,0,15.291,1048576000
BILS,FUNET,1457003067.44632,1457003089.17175,0,21.725,1048576000
BILS,FUNET,1457003159.6757,1457003174.26713,0,14.591,1048576000
BILS,FUNET,1457003243.24855,1457003258.10907,0,14.86,1048576000
BILS,FUNET,1457003329.35075,1457003343.81912,0,14.468,1048576000
BILS,FUNET,1457003415.83828,1457003430.61272,0,14.774,1048576000
BILS,FUNET,1457003506.2067,1457003520.87532,0,14.668,1048576000
BILS,FUNET,1457003593.06871,1457003608.0034,0,14.934,1048576000
BILS,FUNET,1457003682.68917,1457003697.97543,0,15.286,1048576000
BILS,FUNET,1457003773.63335,1457003787.67891,0,14.045,1048576000
BILS,FUNET,1457003861.56573,1457003876.42555,0,14.859,1048576000
BILS,FUNET,1457003947.16644,1457003961.58053,0,14.414,1048576000
BILS,FUNET,1457004030.36128,1457004044.62812,0,14.266,1048576000
BILS,FUNET,1457004115.0384,1457004129.43855,0,14.4,1048576000
BILS,FUNET,1457004198.31884,1457004212.79081,0,14.471,1048576000
BILS,FUNET,1457004286.54253,1457004301.11201,0,14.569,1048576000
BILS,FUNET,1457004372.82897,1457004387.37199,0,14.543,1048576000
BILS,FUNET,1457004469.93289,1457004484.67456,0,14.741,1048576000
BILS,FUNET,1457004559.00721,1457004574.08833,0,15.081,1048576000
BILS,FUNET,1457004653.22663,1457004668.47109,0,15.244,1048576000
BILS,FUNET,1457004741.89238,1457004757.79952,0,15.907,1048576000
BILS,FUNET,1457004832.08864,1457004846.98382,0,14.895,1048576000
BILS,FUNET,1457004928.69936,1457004943.27708,0,14.577,1048576000
BILS,FUNET,1457005011.84052,1457005026.80934,0,14.968,1048576000
BILS,FUNET,1457005098.8166,1457005113.28204,0,14.465,1048576000
BILS,FUNET,1457005186.49721,1457005201.08643,0,14.589,1048576000
BILS,FUNET,1457009435.66995,1457009449.49364,0,13.823,1048576000
BILS,FUNET,1457009523.69577,1457009538.54867,0,14.852,1048576000
BILS,FUNET,1457009610.90926,1457009625.15565,0,14.246,1048576000
BILS,FUNET,1457009699.26597,1457009714.30103,0,15.035,1048576000
BILS,FUNET,1457009783.21062,1457009797.53225,0,14.321,1048576000
BILS,FUNET,1457009865.78101,1457009879.66806,0,13.887,1048576000
BILS,FUNET,1457009953.06466,1457009967.75446,0,14.689,1048576000
BILS,FUNET,1457010035.85457,1457010051.62233,0,15.767,1048576000
BILS,FUNET,1457010122.86847,1457010137.52278,0,14.654,1048576000
BILS,FUNET,1457010208.02342,1457010222.56204,0,14.538,1048576000
BILS,FUNET,1457010293.13793,1457010306.8392,0,13.701,1048576000
BILS,FUNET,1457010394.54211,1457010409.34968,0,14.807,1048576000
BILS,FUNET,1457010483.6584,1457010498.34443,0,14.686,1048576000
BILS,FUNET,1457010571.82543,1457010584.85854,0,13.033,1048576000
BILS,FUNET,1457010654.3778,1457010669.09224,0,14.714,1048576000
BILS,FUNET,1457010738.31937,1457010752.47386,0,14.154,1048576000
BILS,FUNET,1457010828.15249,1457010842.43263,0,14.28,1048576000
BILS,FUNET,1457010919.15484,1457010938.57453,0,19.419,1048576000
BILS,FUNET,1457011014.17954,1457011027.41728,0,13.237,1048576000
BILS,FUNET,1457011116.32601,1457011131.03142,0,14.705,1048576000
BILS,FUNET,1457011202.84207,1457011216.67404,0,13.831,1048576000
BILS,FUNET,1457011287.77513,1457011302.43687,0,14.661,1048576000
BILS,FUNET,1457011374.65867,1457011389.63274,0,14.974,1048576000
BILS,FUNET,1457011463.6512,1457011477.94467,0,14.293,1048576000
BILS,FUNET,1457011548.53767,1457011562.87868,0,14.341,1048576000
BILS,FUNET,1457011643.5174,1457011658.59739,0,15.079,1048576000
BILS,FUNET,1457011730.46007,1457011744.07078,0,13.61,1048576000
BILS,FUNET,1457011814.30553,1457011828.27477,0,13.969,1048576000
BILS,FUNET,1457011899.95448,1457011914.32523,0,14.37,1048576000
BILS,FUNET,1457011986.42119,1457012001.27403,0,14.852,1048576000
BILS,FUNET,1457012086.08141,1457012100.54311,0,14.461,1048576000
BILS,FUNET,1457012173.77243,1457012188.94903,0,15.176,1048576000
BILS,FUNET,1457012258.98662,1457012275.29592,0,16.309,1048576000
BILS,FUNET,1457012347.87486,1457012362.33276,0,14.457,1048576000
BILS,FUNET,1457012434.91458,1457012450.07455,0,15.159,1048576000
BILS,FUNET,1457012524.42507,1457012539.19907,0,14.773,1048576000
BILS,FUNET,1457012609.37078,1457012624.21864,0,14.847,1048576000
BILS,FUNET,1457012698.22139,1457012712.50679,0,14.285,1048576000
BILS,FUNET,1457012786.88667,1457012801.8586,0,14.971,1048576000
BILS,FUNET,1457012875.01499,1457012889.22461,0,14.209,1048576000
BILS,FUNET,1457012958.03297,1457012973.84426,0,15.811,1048576000
BILS,FUNET,1457013046.76204,1457013062.13522,0,15.373,1048576000
BILS,FUNET,1457013132.59286,1457013147.00638,0,14.413,1048576000
BILS,FUNET,1457013216.84556,1457013231.10554,0,14.259,1048576000
BILS,FUNET,1457013302.3333,1457013316.62657,0,14.293,1048576000
BILS,FUNET,1457013399.71755,1457013414.24604,0,14.528,1048576000
BILS,FUNET,1457013486.13991,1457013502.24954,0,16.109,1048576000
BILS,FUNET,1457013579.84216,1457013594.06609,0,14.223,1048576000
BILS,FUNET,1457013665.56734,1457013680.34316,0,14.775,1048576000
BILS,FUNET,1457013750.30989,1457013765.72074,0,15.41,1048576000
EBI,BILS,1456750601.27029,1456750645.06979,0,43.799,1048576000
EBI,BILS,1456750635.21337,1456750688.43842,0,53.225,1048576000
EBI,BILS,1456750688.08459,1456750727.89841,0,39.813,1048576000
EBI,BILS,1456750754.85171,1456750797.28479,0,42.433,1048576000
EBI,BILS,1456750939.00202,1456750982.83415,0,43.832,1048576000
EBI,BILS,1456837198.805,1456837799.19889,0,600.393,10485760000
EBI,BILS,1456838835.13214,1456839259.90129,0,424.769,10485760000
EBI,BILS,1456840848.9789,1456841300.42524,0,451.446,10485760000
EBI,BILS,1456841600.59131,1456842046.12685,0,445.535,10485760000
EBI,BILS,1456842106.22089,1456842568.25851,0,462.037,10485760000
EBI,BILS,1456844181.06036,1456844564.17693,0,383.116,10485760000
EBI,BILS,1456844639.52208,1456845072.8016,0,433.279,10485760000
EBI,BILS,1456845147.94542,1456845552.60297,0,404.657,10485760000
EBI,BILS,1456845628.0993,1456846055.47865,0,427.379,10485760000
EBI,BILS,1456846130.34779,1456846533.75787,0,403.41,10485760000
EBI,BILS,1456846807.99067,1456847238.96373,0,430.973,10485760000
EBI,BILS,1456847314.32053,1456847757.65193,0,443.331,10485760000
EBI,BILS,1456847832.8775,1456848236.3235,0,403.446,10485760000
EBI,BILS,1456848311.22498,1456848759.68612,0,448.461,10485760000
EBI,BILS,1456848834.82769,1456849265.3029,0,430.475,10485760000
EBI,BILS,1456849341.07803,1456849758.3544,0,417.276,10485760000
EBI,BILS,1456849834.2345,1456850241.68596,0,407.451,10485760000
EBI,BILS,1456850315.71316,1456850732.46061,0,416.747,10485760000
EBI,BILS,1456850807.6263,1456851259.00257,0,451.376,10485760000
EBI,BILS,1456851334.15618,1456851799.09573,0,464.939,10485760000
EBI,BILS,1456851874.41034,1456852359.71227,0,485.301,10485760000
EBI,BILS,1456852434.97163,1456852927.47761,0,492.505,10485760000
EBI,BILS,1456853002.88929,1456853429.54622,0,426.656,10485760000
EBI,BILS,1456853503.58551,1456853966.5605,0,462.974,10485760000
EBI,BILS,1456854041.62162,1456854484.41569,0,442.794,10485760000
EBI,BILS,1456854559.47073,1456854995.31467,0,435.843,10485760000
EBI,BILS,1456855070.49231,1456855518.38604,0,447.893,10485760000
EBI,BILS,1456855595.07998,1456856071.08508,0,476.005,10485760000
EBI,BILS,1456856147.00974,1456856592.86593,0,445.856,10485760000
EBI,BILS,1456856667.68552,1456857122.40014,0,454.714,10485760000
EBI,BILS,1456857197.49897,1456857629.3732,0,431.874,10485760000
EBI,BILS,1456857705.01032,1456858130.72432,0,425.713,10485760000
EBI,BILS,1456858205.75887,1456858645.78933,0,440.03,10485760000
EBI,BILS,1456858721.71797,1456859161.31557,0,439.597,10485760000
EBI,BILS,1456859236.33398,1456859713.01531,0,476.681,10485760000
EBI,BILS,1456859786.63823,1456860233.0249,0,446.386,10485760000
EBI,BILS,1456860307.74613,1456860753.61001,0,445.863,10485760000
EBI,BILS,1456860828.87236,1456861338.2457,0,509.373,10485760000
EBI,BILS,1456861413.27985,1456861886.23473,0,472.954,10485760000
EBI,BILS,1456861961.96191,1456862437.21508,0,475.253,10485760000
EBI,BILS,1456862512.31018,1456862970.92178,0,458.611,10485760000
EBI,BILS,1456863047.90691,1456863486.56167,0,438.654,10485760000
EBI,BILS,1456863562.02015,1456864020.18245,0,458.162,10485760000
EBI,BILS,1456864097.46687,1456864574.58856,0,477.121,10485760000
EBI,BILS,1456864662.23533,1456865085.23292,0,422.997,10485760000
EBI,BILS,1456865161.34162,1456865610.95325,0,449.611,10485760000
EBI,BILS,1456865684.77417,1456866114.49534,0,429.721,10485760000
EBI,BILS,1456866188.07789,1456866669.76979,0,481.691,10485760000
EBI,BILS,1456866744.638,1456867207.21631,0,462.578,10485760000
EBI,BILS,1456867282.37776,1456867728.71003,0,446.332,10485760000
EBI,BILS,1456867803.75289,1456868258.1577,0,454.404,10485760000
EBI,BILS,1456868333.346,1456868776.41798,0,443.071,10485760000
EBI,BILS,1456868852.09769,1456869278.65484,0,426.557,10485760000
EBI,BILS,1456869353.70548,1456869787.84104,0,434.135,10485760000
EBI,BILS,1456869862.76987,1456870317.61197,0,454.842,10485760000
EBI,BILS,1456870392.71815,1456870785.46032,0,392.742,10485760000
EBI,BILS,1456870859.39833,1456871281.68001,0,422.281,10485760000
EBI,BILS,1456871357.57876,1456871793.58022,0,436.001,10485760000
EBI,BILS,1456871868.07975,1456872303.43013,0,435.35,10485760000
EBI,BILS,1456872378.54429,1456872809.94358,0,431.399,10485760000
EBI,BILS,1456872884.77723,1456873313.24706,0,428.469,10485760000
EBI,BILS,1456873388.74986,1456873817.97712,0,429.227,10485760000
EBI,BILS,1456873892.91686,1456874321.38416,0,428.467,10485760000
EBI,BILS,1456874396.41104,1456874840.46921,0,444.058,10485760000
EBI,BILS,1456874915.3341,1456875321.84219,0,406.508,10485760000
EBI,BILS,1456875397.71069,1456875833.87873,0,436.168,10485760000
EBI,BILS,1456875908.77792,1456876332.08664,0,423.308,10485760000
EBI,BILS,1456876407.14044,1456876851.32581,0,444.185,10485760000
EBI,BILS,1456876926.04867,1456877352.7995,0,426.75,10485760000
EBI,BILS,1456877427.89613,1456877879.76089,0,451.864,10485760000
EBI,BILS,1456877954.73004,1456878391.65231,0,436.922,10485760000
